State,Constituency No,Constituency,Candidate,Party,Website
Gujarat,26,Valsad (ST) ,Dr. Dhirubhai Patel (Dharampur),BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/valsad.html
Haryana,1,Ambala (SC) ,Shri Ratan Lal Kataria,BJP,
Haryana,5,Karnal ,Shri I.D. Swamy,BJP,
Haryana,6,Sonepat ,Shri Kishan Singh Sangwan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=396
Haryana,9,Gurgaon ,Smt. Dr. Sudha Yadav,BJP,
Haryana,10,Faridabad ,Shri Ram Chandra Bainda ,BJP,
Himachal Pradesh,1,Kangra ,Dr. Rajan Sushant,BJP,
Himachal Pradesh,2,Mandi ,Shri Maheshwar Singh,BJP,
Himachal Pradesh,3,Hamirpur ,Shri Anurag Thakur,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4249
Himachal Pradesh,4,Shimla (SC) ,Shri Virendra Kashyap ,BJP,
Jammu & Kashmir ,5,Udhampur ,Dr. Nirmal Singh,BJP,
Jammu & Kashmir,6,Jammu ,Shri Leela Karan Sharma ,BJP,
Jharkhand,1,Rajmahal (ST) ,Shri Devidhan Besra,BJP,
Jharkhand,2,Dumka (ST) ,Shri Sunil Soren,BJP,
Jharkhand,3,Godda ,Shri Nishikant Dubey,BJP,
Jharkhand,6,Giridih ,Shri Ravindra Pandey,BJP,
Jharkhand,7,Dhanbad ,Shri Pashupatinath Singh,BJP,
Jharkhand,8,Ranchi ,Shri Ramtahal Choudhary,BJP,
Jharkhand,9,Jamshedpur ,Shri Arjun Munda,BJP,
Jharkhand,10,Singhbhumi (ST) ,Shri Badkunwar Gagrai,BJP,
Jharkhand,11,Khunti (ST) ,Shri Karia Munda,BJP,
Jharkhand,12,Lohardaga (ST) ,Shri Sudarshan Bhagat,BJP,
Jharkhand,14,Hazaribagh ,Shri Yashwant Sinha ,BJP,
Karnataka,1,Chikkodi ,Shri Ramesh Katti,BJP,http://bjpkarnataka.org/mp-candidates/ramesh-vishwanath-katti/#more-1153
Karnataka,2,Belgaum ,Shri Suresh Angadi,BJP,http://bjpkarnataka.org/mp-candidates/shri-suresh-chanabasappa-angadi/#more-1074
Karnataka,3,Bagalkot ,Shri P.C. Gaddigoudar,BJP,http://bjpkarnataka.org/mp-candidates/shri-pc-gaddigoudar/#more-1083
Karnataka,4,Bijapur (SC) ,Shri Ramesh Jigajinagi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=170
Karnataka,5,Gulbarga (SC) ,Shri Revu Nayak Belamagi,BJP,http://bjpkarnataka.org/mp-candidates/revu-nayak-belamagi/#more-1040
Karnataka,6,Raichur (ST) ,Shri Raja Amareshwara Nayak,BJP,http://bjpkarnataka.org/mp-candidates/raja-amareshwara-nayak/#more-1042
Karnataka,7,Bidar ,Shri Gurupadappa Nagamarapalli,BJP,http://bjpkarnataka.org/mp-candidates/gurupadappa-nagamarapalli/#more-1037
Karnataka,8,Koppala ,Shri Shivarama Gouda,BJP,http://bjpkarnataka.org/mp-candidates/shivaram-gouda/#more-1118
Karnataka,9,Bellary (ST) ,Smt. J. Shanthi,BJP,http://bjpkarnataka.org/mp-candidates/j-shantha/#more-1588
Karnataka,10,Haveri ,Shri Shivakumar Chennabasapa Udasi,BJP,http://bjpkarnataka.org/mp-candidates/shivakumar-chennabasappa/#more-1035
Karnataka,11,Dharwad ,Shri Prahlad Joshi,BJP,http://bjpkarnataka.org/mp-candidates/pralhad-venkatesh%C2%A0joshi/#more-1081
Karnataka,12,Uttara Kannada ,Shri Ananth Kumar Hegde,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3688
