List of MPs with pending cases (Lok Sabha2004),,,,,,,,,,,,,,,,,,,,
S.No,State,Constituency,Candidate,Sex,Age,Category,Party,Sections,Criminal cases,,,,,,,,,,,
41,KARNATAKA,Dharwad North,PRAHLAD JOSHI,M,42,GEN,BJP,"Crime no.350/96 Hubli Police Station, Sec no. 143,147 Rioting ,341,323,352,353 Criminal force on public servant ,435,506 Criminal intimidation and death threats ,427 IPC 149 CC No 615/98 JMFC 2nd Additional court , Crime no 91/98 Hubli Police Station  ","Crime no.350/96 Hubli Police Station, Sec no. 143,147 Rioting ,341,323,352,353 Criminal force on public servant ,435,506 Criminal intimidation and death threats ,427 IPC 149 CC No 615/98 JMFC 2nd Additional court , Crime no 91/98 Hubli Police Station ",,,,,,,,,,,
42,KARNATAKA,Bijapur,BASANAGOUDA R PATIL(YATNAL),M,41,GEN,BJP,"CC No. 197/2001 U/S 143 Unlawful assembly, 147 Rioting, 435 Damage with fire or explosives, 437, 425 read with 149 Offences under unlawful assembly IPC and 115 I.R. Act at JMFC Bijapur; CC No. 371/2001 U/S 143, 147, 341 Wrongful restraint read with 149 "," Unlawful assembly,  Rioting, Damage with fire or explosives, 437, 425 read with 149 Offences under unlawful assembly IPC and 115 I.R. Act at JMFC Bijapur; CC No. 371/2001 U/S 143, 147, 341 Wrongful restraint read with 149 ",,,,,,,,,,,
43,KARNATAKA,Chamarajanagar,M SHIVANNA,M,56,SC,JD(S),"143, 144, 147, 148, 149, 324, 326, 307, 435, 447, 332, 427","Unlawful Assembly, Unlawful assembly with deadly weapon, Rioting, Rioting with deadly weapon, Offence committed by unlawful assembly, Causing hurt by dangerous weapons, Causing grievous hurt by dangerous weapons, Attempt to murder, Damage to property by fire or explosives, Criminal trespass, Hurting public servant to prevent him from doing his duty, Causing damage",,,,,,,,,,,
44,KARNATAKA,Kanara,ANANTHKUMAR HEGDE,M,35,GEN,BJP,"143, 147, 148, 353, 332, 333, 427, 324, 323, 153 A, 149, Section 2 KPDLP Act., 295, 505 (1)(b)","Unlawful assembly, Rioting, Rioting with deadly weapon, Prevent public servant from doing his duty, Causing damage, Causing hurt by dangerous weapons, Promoting enemity between different groups on various ground like religion, race etc, Offences committed by unlawful assembly, Defiling a place of worship, Statements conducing to public mischief, KPDLP Act",,,,,,,,,,,
45,KERALA,Kasaragod,P KARUNAKARAN,M,59,GEN,CPM,"Section 4 of Drugs and MR Act, 500 r.w 34, Section 85(a)(b)©ESI Act, 499, 500, 499, 500, 501, 502, 500, 501B, 502B, 500, 501, 465, 469, 34, 499, 500, 501, 499, 500, 501, 502, 500, 500 r.w 34, 500, 501, 502, 465, 469 r.w 34, 500, 501, 502, 465, 469 r.w 34, 500, 143, 147, 341, 283 r.w 149, 143, 147, 341, 283 r.w 149, 143, 147, 341, 283 r.w 149","Section 4 of Drugs and MR Act, 17 cases faced in capacity of printer and publisher of deshabhimani and 6 related to organising unlawful assembly etc.",,,,,,,,,,,
46,KERALA,Cannanore,A P ABDULLAKUTTY,M,36,GEN,CPM,"143, 283, 149, Sec 15 environmental prot. Act","Unlawful assembly,Speech made in front of collectorate in connection with peoples strike, Offences committed by unlawful assembly, Sec 15 environmental prot. Act",,,,,,,,,,,
47,KERALA,Badagara,ADV P SATHEEDEVI,F,47,GEN,CPM,"143, 147, 149, 283","Unlawful Assembly,Rioting, Offences committed by unlawful assembly, Obstruction in public way or line of navigation",,,,,,,,,,,
48,KERALA,Palghat,N N KRISHNADAS,M,45,GEN,CPM,"143, 147, 148, 407, 427, 324, 326, 307, 149, 143, 144, 145, 147, 148, 447, 120-B, 149, 143, 147, 283, 188, 341, 149, 143, 147, 283, 188, 341, 149 ,sec 3(2) (e) of PDPP ACT.","Unlawful assemby, Rioting with deadly weapon, Criminal breach of trust, Causing damage, Causing hurt by dangerous weapon, Attempt to murder, Offence committed by unlawful assemby, Hurting public servant to prevent him from doing his duty,Criminal conspiracy, obstruction in public way, disobeying public servant, wrongful restraint, sec 3(2) (e) of PDPP ACT.",,,,,,,,,,,
49,KERALA,Ottapalam,S AJAYA KUMAR,M,39,SC,CPM,"143, 147, 447, R/W- 149, 134, &159 of IR act, 143, 144, 145, 147, 148, 447, 332, 333,  r/w 149, PDPP ACT_3(2)(e), 143, 147, 283, 188, 341, 149","Unlawful assembly, Rioting, Criminal trespass, Hurting public servant to prevent him from doing his duty, Causing grieveous hurt to deter public servant, offences committed by unlawful assembly, Unlawful assembly, Rioting, negligent conduct with respect to pulling down or repairing building, danger or obstruction in public way or line of navigation, disobedience to order duly promulgated by public servant, wrongful restraint, PDPP ACT_3(2)(e), Trespassed on to railway track and blocked train , Injuries to police officials and damage to public property, Blocked road",,,,,,,,,,,
50,KERALA,Mavelikara,ADV C S SUJATHA,F,38,GEN,CPM,"143, 147, 148, 283, 188, 143, 147, 149, 283, 188, 143, 147, 149, 288, 283, 147, 188, 149","Unlawful assembly, Rioting, Rioting armed with deadly weapon,  Danger and obstruction in public way, Disobeying public servant, Unlawful assembly, Negligent conduct with respect to pulling down or repairing buildings, Danger and obstruction in public way, Wrongful restraint",,,,,,,,,,,
51,MADHYA PRADESH,Morena,ASHOK CHHAVIRAM ARGAL,M,34,SC,BJP,"500, 501, 502, 120-B","Defamation, criminal conspiracy",,,,,,,,,,,
52,MADHYA PRADESH,Bhind,DR. RAMLAKHAN SINGH,M,52,GEN,BJP,"302, 34","Murder, Rioting armed with deadly weapon.",,,,,,,,,,,
53,MADHYA PRADESH,Damoh,CHANDRABHAN BHAIYA,M,47,GEN,BJP,412,"Dishonestly receiving stolen property, knowing it was obtained by dacoity",,,,,,,,,,,
54,MADHYA PRADESH,Satna,GANESH SINGH,M,42,GEN,BJP,"188, 166, 217, 218, 420, 467, 477","Public servant disobeying, Public servant framing an incorrect record, Public servant disobeying direction of law with intent to save a person from punishment for forfeiture, Cheating, Forgery of a valuable security, Fraudulently destroying a will.",,,,,,,,,,,
55,MADHYA PRADESH,Rewa,CHANDRAMANI TRIPATHI,M,56,GEN,BJP,"294, 323, 353,  332, 147, 148, 506B","Obscene songs, Voluntarily causing hurt, Assault of criminal forces and Voluntarily causing hurt to deter a public servant from discharge of his duty, Rioting armed with deadly weapon, Criminal intimidation. ",,,,,,,,,,,
56,MADHYA PRADESH,Vidisha,SHIVRAJ SINGH,M,45,GEN,BJP,"341, 347","Wrongful restraint, wrongful confinement to extort property or constaint to illegal act",,,,,,,,,,,
57,MADHYA PRADESH,Dhar,CHHATAR SINGH DARBAR,M,50,ST,BJP,"302, 307","Murder, Attempt to murder",,,,,,,,,,,
58,MAHARASHTRA,Mumbai South Central,MOHAN RAWALE,M,55,GEN,SHS,"143, 147, 241, 150& 174 Indian Railway Act ,  37(1)(D), 37(3) 136 of Bombay Police Act, 37(1) r.w 136 of B.P Act,  37 (3) r.w 135 of B.P.Act, 33 (R),37(1)(D), 37(3) 135 of B.P.Act","Unlawful assembly, rioting, delivery of coin as genuine, which , when first possessed, the deliverer did not know to be couterfeit, 33(R), 37(1)(D), 37(3) 135 of Bombay Police Act , Indian railway Act",,,,,,,,,,,
59,MAHARASHTRA,Mumbai North West,SUNIL DUTT,M,74,GEN,INC,Unlawful assembly and section 37 of Bombay Police act,Unlawful assembly and section 37 of Bombay Police act,Death,,,,,,,,,,
60,MAHARASHTRA,Mumbai North,GOVINDA,M,41,GEN,INC,"500, 502, 294","Defamation, obscene acts and songs",,,,,,,,,,,
61,MAHARASHTRA,Nashik,PINGALE DEVIDAS ANANDRAO,M,43,GEN,NCP,"504, 506, 427, 34","Breach of peace, Criminal intimidation with death threat, Causing damage, criminal acts jointly committed",,,,,,,,,,,
62,MAHARASHTRA,Dhule,CHAURE BAPU HARI,M,55,ST,INC,"3&7 of EC Act, Section 5 and 23 Petrolem Act",Essential commodities Act and Adulteration.,,,,,,,,,,,
63,MAHARASHTRA,Jalgaon,Y. G. MAHAJAN (SIR),M,63,GEN,BJP,"143, 147, 149,352,332, 341, 427, 323, 504, 506","Unlawful assembly, Rioting, Wrongful restraint, Assault on public servant to prevent him from doing his duty, Causing damage, causing hurt,breach of peace, Criminal intimidation",,,,,,,,,,,
64,MAHARASHTRA,Buldhana,ADSUL ANANDRAO VITHOBA,M,56,SC,SHS,"143, 147, 148, 149, 341, 506","Wrongful restraint, Criminal intimidation, rioting with deadly weapon, unlawful assembly",,,,,,,,,,,
65,MAHARASHTRA,Washim,GAWALI (PATIL) KU.  BHAVANA PUNDLIKRAO,F,29,GEN,SHS,135 B.P.Act,Section-135 of Bombay Police act,,,,,,,,,,,
66,MAHARASHTRA,Ramtek,MOHITE SUBODH BABURAO,M,42,GEN,SHS,"127A PR Act, Section 3 Maharastrra Property Destortion Act 1995,188, 147, 149, 504, 506,323","PR Act, Maharashtra Property distortion act,Criminal intimidation and death threat, Rioting and assault.",,,,,,,,,,,
67,MAHARASHTRA,Chandrapur,AHIR HANSRAJ GANGARAM,M,49,GEN,BJP,"135 B.P.Act, 143, 147, 186, 323, 343, 336, 341, 427","B.P. Act, Unlawful assembly, Rioting, Obstructing public servant in discharging functions,Causing hurt, Wrongful confinment, Endangering life and safety of people, wrongful restraint, Causing damage",,,,,,,,,,,
68,MAHARASHTRA,Hingoli,SURYAKANTA PATIL,F,55,GEN,NCP,"Section 6and 7 of religious institution misuse of prob.Act 1988, 134&135 B.P.Act","Misuse of Chariatable institution, B.P. Act",,,,,,,,,,,
69,MAHARASHTRA,Nanded,D. B. PATIL,M,52,GEN,BJP,"135 of B.P.act, 143, 353 ","B.P. Act, Unlawful assembly,Assaulting public servant",,,,,,,,,,,
70,MAHARASHTRA,Parbhani,ADV. TUKARAM GANPATRAO RENGE PATIL,M,46,GEN,SHS,"135 B.P.Act, 153, 135 B.P.Act, 143, 135 B.P.Act, 135 B.P.Act, 353, 135 B.P.Act, 147, 149, 147,149,353, 143, 135 B.P.Act, 143, 147, 135 B.P.Act, 143, 147, 135 B.P.Act, 188, 34, 134, 135 B.P.Act, 135 B.P.Act","Hate Speech and Provoking a riot , Unlawful assembly, B.P Act",,,,,,,,,,,
71,MAHARASHTRA,Aurangabad,CHANDRAKANT KHAIRE,M,52,GEN,SHS,"143, 504, 147, 342, 353, 341, 171, 143, 148, 353, 143, 142, 353, 332, 147, 149, 135 B.P Act, 188, 188, 353, 34, 143, 147, 148, 427, 323, 504, 135 B.P Act, 188, 143, 186, 144, 151 CrPC Act","Unlawful assembly, breach of peace, rioting, wrongful confinement, assault public servant to prevent him from his duty, wrongful restraint, impersonating a public servant to defraud, rioting wiht deadly weapon, disobeying public servant, 13 cases including assault, rioting, wrongful confinement, Assaulting public servant, Causing damage, B.P. Act, CrPC Act",,,,,,,,,,,
72,MAHARASHTRA,Osmanabad,NARHIRE KALPANA RAMESH,F,34,SC,SHS,"353, 143, 188, 341, 127(1) RP Act and section 135 B.P.Act","Wrongful restraint, Assault on public servant, R.P. Act, B.P. Act",,,,,,,,,,,
73,MAHARASHTRA,Pune,KALMADI SURESH,M,59,GEN,INC,"341, 34, B.P.Act  37 (1) r.w 135",Wrongful restraint and Bombay Police Act 37,,,,,,,,,,,
74,MAHARASHTRA,Baramati,PAWAR SHARADCHANDRA GOVINDRAO,M,63,GEN,NCP,Religion institution act 1988 (Prevention of misuse),Religion institution act 1988 (Prevention of misuse),,,,,,,,,,,
75,MAHARASHTRA,Kolhapur,MANDLIK SADASHIVRAO DADOBA,M,69,GEN,NCP,144 CRPC,"Unlawful assembly , Violation of people's represention act.",,,,,,,,,,,
76,MAHARASHTRA,Ahmednagar,GADAKH TUKARAM GANGADHAR,M,51,GEN,NCP,"504, 506","Breach of peace, Criminal intimidation ",,,,,,,,,,,
