State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Karnataka,10,Haveri ,Shivakumar Chennabasapa Udasi,BJP,http://bjpkarnataka.org/mp-candidates/shivakumar-chennabasappa/#more-1035,,Male,
Karnataka,11,Dharwad ,Prahlad Joshi,BJP,http://bjpkarnataka.org/mp-candidates/pralhad-venkatesh%C2%A0joshi/#more-1081,,Male,
Karnataka,12,Uttara Kannada ,Ananth Kumar Hegde,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3688,,Male,
Karnataka,13,Davanagere ,G.M. Siddeshwar,BJP,http://bjpkarnataka.org/mp-candidates/siddeswarashri-gowdar-mallikarjunappa/#more-1139,,Male,
Karnataka,14,Shimoga ,B.Y. Raghavendra,BJP,http://bjpkarnataka.org/mp-candidates/b-y-raghavendra/#more-1246,,Male,
Karnataka,15,Udupi-Chickmagalore ,D.V. Sadananda Gowda,BJP,http://bjpkarnataka.org/mp-candidates/shri-dv-sadananda-gowda/#more-1070,,Male,
Karnataka,16,Hassan ,K.H. Hanume Gowda,BJP,http://bjpkarnataka.org/mp-candidates/kh-hanume-gowda/#more-1676,,Male,
Karnataka,17,Mangalore ,Nalin Kumar Katilu,BJP,http://bjpkarnataka.org/mp-candidates/shri-naliln-kumar-katilu/#more-1048,,Male,
Karnataka,18,Chitradurga ,Janardhana Swamy,BJP,http://bjpkarnataka.org/mp-candidates/janardhana-swami/#more-1662,SC,Male,
Karnataka,19,Tumkur ,G.S. Basavaraj,BJP,http://bjpkarnataka.org/mp-candidates/gsbasavaraj/#more-1196,,Male,
Karnataka,21,Mysore ,C.H. Vijaya Shanker,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3946,,Male,
Karnataka,22,Chamarajanagar,A.R. Krishna Murthy,BJP,http://bjpkarnataka.org/mp-candidates/ar-krishna-murthy-ex-mla/#more-1046,SC,Male,
Karnataka,25,Bangalore Central ,P.C. Mohan,BJP,,,Male,
Karnataka,26,Bangalore South ,Ananth Kumar,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=20,,Male,
Karnataka,28,Kolar,D.S. Veeraiah ,BJP,,SC,Male,
Kerala,1,Kasargod ,K. Surendran,BJP,,,Male,
Kerala,2,Kannur ,P.P. Karunakaran Master,BJP,,,Male,
Kerala,3,Vadakara ,K.P. Sreeshan,BJP,,,Male,
Kerala,4,Wayanadu ,C. Vasudevan Master,BJP,,,Male,
Kerala,5,Kozhikode ,V. Muraleedharan,BJP,,,Male,
Kerala,6,Malappuram ,N. Aravindan,BJP,,,Male,Graduate
Kerala,7,Ponnani ,K. Janachandran Master,BJP,,,Male,
Kerala,8,Pallakkad ,C.K. Padmanabhan,BJP,,,Male,
Kerala,9,Alathur,M. Bindu,BJP,,SC,Female,
Kerala,10,Thrissur ,Rema Reghunandan,BJP,,,Female,
Kerala,11,Chalakkudi ,K.V. Sabu,BJP,,,Male,Graduate
Kerala,12,Ernakulam ,A.N. Radhakrishnan,BJP,,,Male,
Kerala,13,Idukki ,Sreenagari Rajan,BJP,,,Male,
Kerala,14,Kottayam ,K. Narayanan Namboothiri,BJP,,,Male,graduate
Kerala,16,Mavelikkara,P.M. Velayudhan,BJP,,SC,Male,
Kerala,17,Pathanamthitta ,B. Radhakrishna Menon,BJP,,,Male,
Kerala,18,Kollam ,Vayakal Madhu,BJP,,,Male,
Kerala,19,Attingal ,Thottakkad Sasi,BJP,,,Male,
